"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10900,"Sac@GS 10:30PM ET",54.471,"GS"
"PF","DeMarcus Cousins",10600,"Sac@GS 10:30PM ET",50.600,"Sac"
"PF","Anthony Davis",10600,"NO@Uta 09:00PM ET",45.231,"NO"
"SF","LeBron James",9600,"Bkn@Cle 07:30PM ET",48.391,"Cle"
"PG","Rajon Rondo",9300,"Sac@GS 10:30PM ET",42.897,"Sac"
"PG","Damian Lillard",9100,"LAL@Por 10:00PM ET",44.609,"Por"
"PG","Kyle Lowry",8500,"Tor@Was 07:00PM ET",42.469,"Tor"
"SF","Kawhi Leonard",8400,"Atl@SA 08:30PM ET",42.850,"SA"
"PF","Kevin Love",8300,"Bkn@Cle 07:30PM ET",41.422,"Cle"
"PG","John Wall",7900,"Tor@Was 07:00PM ET",37.115,"Was"
"PF","Paul Millsap",7800,"Atl@SA 08:30PM ET",42.125,"Atl"
"SF","Rudy Gay",7400,"Sac@GS 10:30PM ET",30.281,"Sac"
"PF","Draymond Green",7400,"Sac@GS 10:30PM ET",38.103,"GS"
"C","Brook Lopez",7300,"Bkn@Cle 07:30PM ET",37.350,"Bkn"
"PF","Derrick Favors",7100,"NO@Uta 09:00PM ET",35.518,"Uta"
"SG","DeMar DeRozan",7000,"Tor@Was 07:00PM ET",34.406,"Tor"
"PF","Thaddeus Young",6900,"Bkn@Cle 07:30PM ET",32.100,"Bkn"
"PF","LaMarcus Aldridge",6800,"Atl@SA 08:30PM ET",31.143,"SA"
"SF","Danilo Gallinari",6800,"Den@Dal 08:30PM ET",32.594,"Den"
"SG","Tyreke Evans",6800,"NO@Uta 09:00PM ET",0,"NO"
"C","Al Horford",6700,"Atl@SA 08:30PM ET",34.014,"Atl"
"PG","Jeff Teague",6700,"Atl@SA 08:30PM ET",33.367,"Atl"
"PG","Kyrie Irving",6700,"Bkn@Cle 07:30PM ET",0,"Cle"
"PG","Ish Smith",6600,"NO@Uta 09:00PM ET",32.141,"NO"
"SG","Bradley Beal",6600,"Tor@Was 07:00PM ET",30.675,"Was"
"PF","Ryan Anderson",6500,"NO@Uta 09:00PM ET",31.406,"NO"
"SF","Gordon Hayward",6500,"NO@Uta 09:00PM ET",30.179,"Uta"
"SG","C.J. McCollum",6500,"LAL@Por 10:00PM ET",31.625,"Por"
"SF","Al-Farouq Aminu",6400,"LAL@Por 10:00PM ET",27.625,"Por"
"SG","Klay Thompson",6300,"Sac@GS 10:30PM ET",27.281,"GS"
"PF","Dirk Nowitzki",6200,"Den@Dal 08:30PM ET",31.550,"Dal"
"SG","Eric Gordon",6200,"NO@Uta 09:00PM ET",29.609,"NO"
"PF","Tristan Thompson",6200,"Bkn@Cle 07:30PM ET",24.188,"Cle"
"SG","Kobe Bryant",6100,"LAL@Por 10:00PM ET",27.750,"LAL"
"C","Tim Duncan",6100,"Atl@SA 08:30PM ET",29.250,"SA"
"PG","Jarrett Jack",6100,"Bkn@Cle 07:30PM ET",31.214,"Bkn"
"C","Rudy Gobert",6100,"NO@Uta 09:00PM ET",30.729,"Uta"
"C","Mason Plumlee",6000,"LAL@Por 10:00PM ET",29.000,"Por"
"PF","Julius Randle",5900,"LAL@Por 10:00PM ET",27.107,"LAL"
"PG","Emmanuel Mudiay",5900,"Den@Dal 08:30PM ET",28.328,"Den"
"PG","Mo Williams",5800,"Bkn@Cle 07:30PM ET",27.385,"Cle"
"PG","Deron Williams",5800,"Den@Dal 08:30PM ET",28.850,"Dal"
"PF","Kenneth Faried",5800,"Den@Dal 08:30PM ET",27.962,"Den"
"SF","DeMarre Carroll",5700,"Tor@Was 07:00PM ET",25.808,"Tor"
"C","Jonas Valanciunas",5700,"Tor@Was 07:00PM ET",26.714,"Tor"
"C","Zaza Pachulia",5600,"Den@Dal 08:30PM ET",28.094,"Dal"
"C","Marcin Gortat",5600,"Tor@Was 07:00PM ET",26.500,"Was"
"SG","Will Barton",5600,"Den@Dal 08:30PM ET",26.313,"Den"
"SF","Harrison Barnes",5600,"Sac@GS 10:30PM ET",24.897,"GS"
"SF","Otto Porter",5600,"Tor@Was 07:00PM ET",24.808,"Was"
"PG","Tony Parker",5500,"Atl@SA 08:30PM ET",24.406,"SA"
"SF","Wilson Chandler",5500,"Den@Dal 08:30PM ET",0,"Den"
"SF","Kent Bazemore",5400,"Atl@SA 08:30PM ET",25.231,"Atl"
"C","Jusuf Nurkic",5400,"Den@Dal 08:30PM ET",0,"Den"
"SG","J.R. Smith",5300,"Bkn@Cle 07:30PM ET",20.827,"Cle"
"SF","Joe Johnson",5200,"Bkn@Cle 07:30PM ET",24.633,"Bkn"
"SF","Andre Iguodala",5200,"Sac@GS 10:30PM ET",24.132,"GS"
"PF","Luis Scola",5100,"Tor@Was 07:00PM ET",21.531,"Tor"
"SG","Jordan Clarkson",5100,"LAL@Por 10:00PM ET",23.482,"LAL"
"SG","Alec Burks",5000,"NO@Uta 09:00PM ET",24.089,"Uta"
"SG","Rodney Hood",5000,"NO@Uta 09:00PM ET",23.288,"Uta"
"PG","Dennis Schroder",5000,"Atl@SA 08:30PM ET",22.278,"Atl"
"C","Nikola Jokic",4900,"Den@Dal 08:30PM ET",17.367,"Den"
"C","Roy Hibbert",4800,"LAL@Por 10:00PM ET",24.196,"LAL"
"C","Kosta Koufos",4800,"Sac@GS 10:30PM ET",21.500,"Sac"
"PG","D'Angelo Russell",4800,"LAL@Por 10:00PM ET",22.518,"LAL"
"SF","Omri Casspi",4700,"Sac@GS 10:30PM ET",22.765,"Sac"
"PG","Matthew Dellavedova",4700,"Bkn@Cle 07:30PM ET",20.850,"Cle"
"PF","Ed Davis",4600,"LAL@Por 10:00PM ET",20.391,"Por"
"C","Andrew Bogut",4500,"Sac@GS 10:30PM ET",22.750,"GS"
"SG","Danny Green",4500,"Atl@SA 08:30PM ET",19.406,"SA"
"SF","Thabo Sefolosha",4500,"Atl@SA 08:30PM ET",20.321,"Atl"
"SG","Kyle Korver",4400,"Atl@SA 08:30PM ET",21.391,"Atl"
"PG","Darren Collison",4400,"Sac@GS 10:30PM ET",22.146,"Sac"
"PG","Jrue Holiday",4400,"NO@Uta 09:00PM ET",21.958,"NO"
"PF","Dwight Powell",4400,"Den@Dal 08:30PM ET",22.516,"Dal"
"SG","Rondae Hollis-Jefferson",4400,"Bkn@Cle 07:30PM ET",18.633,"Bkn"
"SG","Marco Belinelli",4300,"Sac@GS 10:30PM ET",20.412,"Sac"
"C","Festus Ezeli",4300,"Sac@GS 10:30PM ET",21.147,"GS"
"C","Bismack Biyombo",4300,"Tor@Was 07:00PM ET",15.203,"Tor"
"SG","Wesley Matthews",4200,"Den@Dal 08:30PM ET",19.143,"Dal"
